iter	RMSE	MAE	R2
0	88085360.76	72595822.5	0.1002122161
1	85095026.73	70044972.74	0.1602674728
2	82870619.61	68069687.5	0.2035953448
3	81208669.02	66705787.88	0.2352184484
4	78010048.56	63470724.51	0.2942779054
5	76516289.19	62422852.53	0.3210458961
6	74970495.84	60987271.14	0.3482014585
7	73305504.15	59794314.26	0.3768310763
8	72209347.88	59080652.78	0.3953285497
9	71510515.29	58654749.51	0.4069757774
10	69278498.45	56393959.49	0.4434174961
11	67872404.28	55107334.74	0.4657813011
12	65997245.62	53080508.87	0.4948920089
13	65363862.85	52310288.65	0.5045406391
14	64354260.68	51226289.13	0.5197280433
15	63466884.36	50259024.95	0.5328815987
16	62795655.56	49876524.59	0.5427098833
17	61436039.61	48442603.14	0.5622974856
18	60787312.24	48039830.55	0.5714924284
19	60211490.18	47479538.29	0.5795722541
20	59490661.34	46585826.57	0.5895783975
21	58667451.94	46044361.88	0.6008583297
22	58097704.37	45643864.64	0.6085731953
23	57666470.56	45450990.05	0.6143624093
24	56854631.68	44643161.21	0.6251441277
25	56254821.02	44018756.12	0.6330117898
26	55815438.07	43550802.58	0.6387221853
27	55339286.68	43107058.95	0.6448598845
28	54758155.25	42332453.61	0.6522795481
29	54174123.78	41925657.68	0.6596573239
30	53481268.45	41078767.66	0.6683072216
31	53078167.76	40576895.61	0.6732884685
32	52463290.99	40166894.06	0.6808141146
33	51982801.56	39698230.39	0.6866339226
34	51478594.8	39017715.43	0.6926834246
35	51333259.75	38738605.46	0.6944162155
36	51100668.68	38523960.61	0.697179143
37	50835048.41	38209040.16	0.7003190747
38	50534305.45	37759221.64	0.7038544439
39	50296274.01	37433765.47	0.7066377387
40	49869976.46	37178368.85	0.7115895817
41	49646952.2	36792493.51	0.7141634226
42	49206315.65	36349783.51	0.7192147343
43	48741881.09	35711660.8	0.7244901124
44	48363795.11	35308186.43	0.7287477413
45	48016253.83	35053347.44	0.7326321611
46	47830909.17	34877469.38	0.7346922784
47	47527830.86	34855274.89	0.738043846
48	47230441.8	34458003.4	0.741311791
49	47076258.65	34223569.87	0.7429980026
50	46689135.73	33774403.49	0.7472074404
51	46447117.03	33395158.94	0.7498214086
52	46258919.89	33086234.43	0.7518446777
53	45917531.75	32672821.02	0.755493906
54	45628529.74	32353673.94	0.7585620316
55	45291617.43	32198034.49	0.7621143316
56	45018394.73	31818956.67	0.7649757759
57	44667359.25	31619632.64	0.7686267361
58	44464821.4	31366432.44	0.770720238
59	44083762.31	30988537.04	0.7746332083
60	43876217.73	30671551.85	0.7767502487
61	43740753.47	30522643.22	0.7781266516
62	43567905.64	30342469.69	0.7798767153
63	43283405.07	30338448.25	0.7827421608
64	43133877.65	30160337.65	0.7842406515
65	43023768.12	30054159.24	0.7853408
66	42802232.75	29785200.39	0.7875457288
67	42546756.49	29753493.14	0.7900743371
68	42343953.02	29558134.12	0.7920708318
69	42113944.99	29529983.98	0.7943235968
70	41814116.33	29364080.48	0.7972417827
71	41634263.35	29095595.37	0.7989822591
72	41448611.04	28918637.96	0.8007709879
73	41264135.11	28823521.81	0.8025404643
74	41108388.49	28671141.09	0.8040282268
75	40953431.53	28584569.33	0.8055028629
76	40863588.8	28435772.33	0.8063552939
77	40585951.48	28330155.98	0.8089776949
78	40206423.32	27800038.23	0.812533574
79	40122335.71	27721709.27	0.8133168876
80	39858761.32	27605468.55	0.8157615742
81	39741604.93	27462034.36	0.8168430422
82	39505181.96	27268638.95	0.8190157632
83	39371887.34	27135562.34	0.8202350222
84	39267537.15	27061165.53	0.821186648
85	39152444.44	26934992.8	0.8222333117
86	38846822.96	26551383.33	0.8249977508
87	38723472.93	26511343.67	0.826107353
88	38649367.85	26388756.47	0.8267722725
89	38416220.72	26363992.97	0.828855915
90	38290273.56	26313410.46	0.8299762635
91	38032822.3	25992863.48	0.8322549449
92	37794399.29	25855115.19	0.8343514984
93	37723334.44	25785078.87	0.8349738508
94	37520724.97	25761998.24	0.8367417788
95	37429693.07	25628692.97	0.8375330043
96	37215230.63	25495096.14	0.8393894581
97	37006165.83	25369042.37	0.84118892
98	36940826.1	25302568.98	0.8417492327
99	36858123.04	25175595.93	0.8424570226
100	36530227.9	24867939.98	0.8452476042
101	36431196.17	24855086.21	0.8460855198
102	36364785.68	24725579.46	0.8466461503
103	36308222.49	24663555.88	0.8471228442
104	36196458.13	24572592.73	0.8480625719
105	36007500.57	24454685.46	0.8496447593
106	35827296.46	24280368.78	0.8511459372
107	35736680.38	24268429.43	0.8518979623
108	35469557.41	24080360.46	0.8541037408
109	35377606.99	24098581.53	0.8548591961
110	35321112.92	24041414.51	0.8553223732
111	35264448.73	23937014.75	0.8557862014
112	35198446.42	23846368.84	0.8563255285
113	34965541.89	23679118.91	0.8582205966
114	34883666.38	23696493.53	0.8588838021
115	34818001.17	23640947.51	0.8594145779
116	34668169.61	23489421.27	0.860621931
117	34530238.19	23482750.95	0.8617287891
118	34371831.15	23345516.43	0.8629945141
119	34302300.28	23333888.47	0.863548251
120	34258894.27	23283775.48	0.8638933636
121	34123557.01	23181528.04	0.8649665982
122	34057558.46	23170063.21	0.8654884307
123	33876458.77	23074879.53	0.866915147
124	33827913.08	22994356.36	0.8672963006
125	33713939.79	22988946.37	0.8681890071
126	33663591.41	22912683.25	0.868582406
127	33490649.12	22768866.43	0.8699292189
128	33448662.27	22720345.55	0.870255151
129	33290547.46	22655497.65	0.8714788827
130	33233498.58	22602954.05	0.8719189899
131	33176499.1	22533300.42	0.872357962
132	33086179.61	22447198.64	0.8730519998
133	33042457.76	22391210.57	0.8733872899
134	32990898.51	22352917.71	0.873782113
135	32850147.22	22303987.25	0.8748567993
136	32795211.17	22235495.49	0.875275009
137	32672823.29	22130055.58	0.87620419
138	32625369.22	22089129.1	0.8765635314
139	32478123.68	21943923.72	0.8776752095
140	32434845.41	21902487.93	0.8780009967
141	32182894.28	21829385.92	0.879888991
142	32005659.77	21668604.6	0.8812082757
143	31958605.38	21633269.92	0.8815573116
144	31735196.93	21570293.88	0.8832074843
145	31691259.08	21530753.65	0.8835306624
146	31648110.63	21506538.32	0.8838475983
147	31548533.91	21437111.43	0.8845773657
148	31330550.99	21386290.31	0.8861668686
149	31246318.48	21335297.51	0.8867781288
150	31060753.88	21238264.56	0.8881189322
151	30967627.9	21150669.89	0.8887888074
152	30779249.71	21082155.68	0.8901377027
153	30681051.17	20945380.37	0.8908375968
154	30596347.44	20947148.18	0.8914395123
155	30564725.32	20924884.94	0.8916637965
156	30480589.81	20841907.46	0.8922594096
157	30436015.56	20804148.22	0.8925742949
158	30278766.35	20719762.06	0.893681468
159	30184685.88	20626016.55	0.8943411355
160	30140220.09	20601798.91	0.8946522034
161	30108796.57	20580156.32	0.8948717554
162	30070033.91	20552015.66	0.8951422695
163	29933737.84	20402346.97	0.896090676
164	29894084.78	20402359.67	0.8963657899
165	29826077.01	20368145.71	0.8968367804
166	29778977.18	20303344.35	0.8971623434
167	29711545.95	20299429.23	0.8976275453
168	29653271.85	20267899.77	0.8980287235
169	29613440.6	20249190.17	0.8983024818
170	29547245.26	20176674.23	0.8987566255
171	29371750.31	20143256.81	0.8999557177
172	29297054.93	20067438.35	0.9004639164
173	29247817.42	20070043.12	0.900798202
174	29139930.7	20048292.12	0.9015287055
175	29080976.44	20052155.14	0.9019267455
176	29038170.29	19979821.13	0.9022152536
177	28961168.4	19874197.35	0.9027331669
178	28930691.81	19849750.88	0.9029377721
179	28778272	19748835.41	0.9039578123
180	28746409.86	19695829.08	0.9041703626
181	28622151.22	19637042.91	0.9049970346
182	28580342.91	19574957.47	0.905274373
183	28521474.37	19524516.79	0.9056641946
184	28495207.32	19504105.06	0.905837873
185	28458609.41	19453237.32	0.9060795925
186	28390508.19	19387715.73	0.9065285563
187	28175415.26	19310168.59	0.9079395128
188	28145519.42	19276382.49	0.9081347728
189	27994193.76	19233867.45	0.9091199523
190	27936746.38	19184818.98	0.9094925627
191	27878780.48	19138403.51	0.9098677604
192	27747056.39	19041044.87	0.9107174776
193	27566278.96	18996085.14	0.9118770735
194	27498582.99	18904226.23	0.9123093583
195	27372972.67	18843775.66	0.9131086498
196	27345451.04	18840039.77	0.9132832885
197	27319603.96	18820417.21	0.9134471413
198	27213785.84	18766386.22	0.9141163401
199	27188164.3	18733136.03	0.9142779814
