Date,Views
2015-07-01,912686971
2015-08-01,906581034
2015-09-01,973735682
2015-10-01,1059989545
2015-11-01,1107062550
2015-12-01,1100889724
2016-01-01,1201569407
2016-02-01,1102471682
2016-03-01,1136633804
2016-04-01,1072561389
2016-05-01,1049706564
2016-06-01,941172728
2016-07-01,1025284415
2016-08-01,1135303574
2016-09-01,959046010
2016-10-01,1055111412
2016-11-01,1103595471
2016-12-01,1116284763
2017-01-01,1202797235
2017-02-01,1059316285
2017-03-01,1140757395
2017-04-01,1023717957
2017-05-01,1060266033
2017-06-01,945899980
2017-07-01,896202676
2017-08-01,890053163
2017-09-01,951956719
2017-10-01,1036716297
2017-11-01,1043355116
2017-12-01,1020682212
2018-01-01,1100878802
2018-02-01,993057706
2018-03-01,1081034073
2018-04-01,977904777
2018-05-01,1028753426
2018-06-01,930075254
2018-07-01,909319165
2018-08-01,894253615
2018-09-01,920043364
2018-10-01,1013509109
2018-11-01,1051829446
2018-12-01,1059205197
2019-01-01,1117783844
2019-02-01,991210183
2019-03-01,1062211604
2019-04-01,1040411219
2019-05-01,1018977613
2019-06-01,888641651
2019-07-01,874601625
2019-08-01,881038739
2019-09-01,955004267
2019-10-01,1074603899
2019-11-01,1043017326
2019-12-01,1049408270
2020-01-01,1141869665
2020-02-01,1006467879
2020-03-01,987230312
2020-04-01,1183394964
2020-05-01,1128543770
2020-06-01,845765696
2020-07-01,805775752
2020-08-01,806790455
2020-09-01,853922490
2020-10-01,940666133
2020-11-01,1083308292
2020-12-01,1053531770
2021-01-01,1056960920
2021-02-01,936481728
2021-03-01,1041083311
2021-04-01,997300880
2021-05-01,977125590
2021-06-01,866196234
2021-07-01,907576955
2021-08-01,942667339
2021-09-01,961522279
2021-10-01,1039111105
2021-11-01,1046049127
2021-12-01,1057200388
2022-01-01,1191856254
2022-02-01,1095813150
2022-03-01,1193490721
2022-04-01,1152346090
2022-05-01,1122724662
2022-06-01,964931438
2022-07-01,981805433
2022-08-01,1004701438
2022-09-01,1105621639
2022-10-01,1183547790
2022-11-01,1188874881
2022-12-01,1114119990
